latitude, longitude, type
47.646214761655195, -122.29210138320923, sighting
47.65438908824023, -122.29273438453674, sighting
47.69792056409802, -122.2133731842041, sighting
47.65317494557139, -122.29932188987732, sighting
47.65608739520685, -122.29682207107544, sighting
47.653680841780776, -122.29280948638916, sighting
47.50491017573277, -122.20307350158691, sighting
47.757906380981005,-122.20396399497986, sighting
47.65078271283098, -122.29788422584534, sighting
47.654960014617735, -122.29015946388244, sighting
47.6674971402422, -122.2734546661377, sighting
47.65506841765517, -122.29004144668579, sighting
47.63313751579272, -122.34003782272339, sighting
47.65619579590381, -122.29714393615723, sighting
47.65159218149306, -122.31505036354065, sighting
47.82979529674204, -122.3383104801178, sighting
47.64061269391303, -122.3298454284668, sighting
47.654782955839316, -122.29042768478394, den
47.6230002180219, -122.0694351196289, sighting
47.659548879648, -122.37310409545898, sighting
47.65477211548642,-122.29032039642334, sighting
47.65472875405242, -122.2944724559784, sighting
47.64815908084732, -122.27869033813477, survey
47.65367361472657, -122.29265928268433, sighting
47.65456253488847, -122.29499816894531, sighting
47.65619579590381, -122.29678988456726, sighting
47.64404629056993, -122.2887110710144, sighting
47.64454143273174, -122.33657240867615, sighting
47.658161422836216, -122.29791641235351, sighting
47.59628097536871, -122.12247848510742, sighting
47.658710628899705, -122.2957706451416, sighting
47.65370974998756, -122.29456901550293, sighting
47.652531727599715, -122.29851722717285, sighting
47.654186733089155, -122.29730486869812, sighting
47.647407382380955, -122.30109214782715, sighting
47.57077140609697, -122.27959156036377, sighting
47.64260782175479, -122.2943115234375, sighting
47.65154159006925, -122.31484651565552, sighting
47.65170781884914, -122.31525421142578, sighting
47.653912106987, -122.29795932769775, sighting
47.654801023089114, -122.29730486869812, sighting
47.77269014551315,  -122.1819269657135, sighting
47.65642704997189, -122.2878527641296, sighting
47.64623644591144, -122.2927451133728, sighting
47.65012501030461, -122.28632926940918, sighting
47.656419823297774, -122.29665040969849, sighting
47.651989683831864, -122.29800224304199, sighting
47.652076411212796, -122.29830265045166, sighting
47.652510045957015, -122.29871034622192, sighting
47.65529967671621, -122.2898268699646, sighting
47.698657093645316, -122.21006870269775, sighting
47.65383260968788, -122.2916829586029, sighting
47.653868744838846, -122.29103922843933, sighting
47.653413440109304, -122.29724049568176, sighting
47.590999163183035, -122.18908309936523, sighting
47.64446553533268, -122.33452320098877, sighting
47.654461357747024, -122.29055643081665, sighting
47.73954703187096, -122.28951573371887, sighting
47.85515681615606, -122.32611179351807, sighting
47.656094621926975, -122.29711174964905, sighting
47.65488051891393, -122.2896659374237, sighting
